graph,algorithm,repetition,best_weight,runtime,candidates,improvements,duplicates,infeasible,stopping_reason
graph_n12_d50_adj_matrix,local,0,1974.08,2.0006938709993847,69,3,804,0,time_limit
graph_n12_d50_adj_matrix,local,1,1837.49,2.002247272999739,30,1,976,0,time_limit
graph_n12_d50_adj_matrix,local,2,1974.08,2.0018990349999513,57,3,766,0,time_limit
graph_n6_d75_adj_matrix,random,0,1179.1399999999999,2.0000215519994526,27,5,261822,0,time_limit
graph_n6_d75_adj_matrix,random,1,1179.1399999999999,2.0000195869997697,23,1,281056,0,time_limit
graph_n6_d75_adj_matrix,random,2,801.03,2.0000201359998755,22,4,302434,0,time_limit
graph_n6_d75_adj_matrix,greedy,0,1179.1399999999999,2.0000171230003616,1,1,286795,0,time_limit
graph_n6_d75_adj_matrix,greedy,1,1179.1399999999999,2.000030731998777,1,1,292938,0,time_limit
graph_n6_d75_adj_matrix,greedy,2,1179.1399999999999,2.000024086000849,1,1,298227,0,time_limit
graph_n6_d75_adj_matrix,local,0,1179.1399999999999,2.001198736999868,1,1,1174,0,time_limit
graph_n6_d75_adj_matrix,local,1,1179.1399999999999,2.0000186170000234,1,1,1245,0,time_limit
graph_n6_d75_adj_matrix,local,2,1179.1399999999999,2.0006223849995877,1,1,1252,0,time_limit
graph_n9_d12.5_adj_matrix,random,0,838.3199999999999,2.0000190139999177,4,2,394897,0,time_limit
graph_n9_d12.5_adj_matrix,random,1,838.3199999999999,2.0000149520001287,4,2,425704,0,time_limit
graph_n9_d12.5_adj_matrix,random,2,838.3199999999999,2.0000215750005736,4,3,420992,0,time_limit
graph_n9_d12.5_adj_matrix,greedy,0,838.3199999999999,2.0000149979987327,1,1,459623,0,time_limit
graph_n9_d12.5_adj_matrix,greedy,1,838.3199999999999,2.0000158229995577,1,1,449741,0,time_limit
graph_n9_d12.5_adj_matrix,greedy,2,838.3199999999999,2.0000157419999596,1,1,440466,0,time_limit
graph_n9_d12.5_adj_matrix,local,0,838.3199999999999,2.00002997699994,1,1,1401,0,time_limit
graph_n9_d12.5_adj_matrix,local,1,838.3199999999999,2.000249614000495,1,1,1318,0,time_limit
graph_n9_d12.5_adj_matrix,local,2,838.3199999999999,2.000881036999999,1,1,1352,0,time_limit
graph_n8_d75_adj_matrix,random,0,1782.14,2.0000223940005526,135,3,215939,0,time_limit
graph_n8_d75_adj_matrix,random,1,1782.14,2.0000345329990523,149,1,207670,0,time_limit
graph_n8_d75_adj_matrix,random,2,1373.67,2.000024602000849,75,2,246074,0,time_limit
graph_n8_d75_adj_matrix,greedy,0,1782.14,2.0000161370007845,6,1,233753,0,time_limit
graph_n8_d75_adj_matrix,greedy,1,1782.14,2.000018987000658,10,4,239005,0,time_limit
