graph,algorithm,repetition,best_weight,runtime,candidates,improvements,duplicates,infeasible,stopping_reason
graph_n17_d12.5_adj_matrix,greedy,1,1962.68,2.000015124998754,9,1,238134,0,time_limit
graph_n17_d12.5_adj_matrix,greedy,2,1962.68,2.000016598000002,9,1,257701,0,time_limit
graph_n17_d12.5_adj_matrix,local,0,1962.68,2.002252659000078,6,1,785,0,time_limit
graph_n17_d12.5_adj_matrix,local,1,2074.9,2.002174653000111,6,1,777,0,time_limit
graph_n17_d12.5_adj_matrix,local,2,2074.9,2.0022567239993805,8,1,789,0,time_limit
graph_n10_d25_adj_matrix,random,0,1406.29,2.0000267520008492,33,6,291116,0,time_limit
graph_n10_d25_adj_matrix,random,1,1406.29,2.0000234060007642,38,5,288510,0,time_limit
graph_n10_d25_adj_matrix,random,2,1406.29,2.000019221999537,18,1,299791,0,time_limit
graph_n10_d25_adj_matrix,greedy,0,1406.29,2.000014829000065,3,1,341930,0,time_limit
graph_n10_d25_adj_matrix,greedy,1,1113.88,2.0000166509998962,4,2,359333,0,time_limit
graph_n10_d25_adj_matrix,greedy,2,1406.29,2.000014421999367,3,1,300011,0,time_limit
graph_n10_d25_adj_matrix,local,0,1406.29,2.0013221459994384,1,1,1055,0,time_limit
graph_n10_d25_adj_matrix,local,1,1406.29,2.0005598290008493,1,1,1076,0,time_limit
graph_n10_d25_adj_matrix,local,2,1406.29,2.001070799000445,1,1,1086,0,time_limit
graph_n14_d75_adj_matrix,random,0,2055.89,0.007792528000209131,400,4,13,0,max_candidates
graph_n14_d75_adj_matrix,random,1,2412.74,0.007875149998653797,400,6,1,0,max_candidates
graph_n14_d75_adj_matrix,random,2,2242.75,0.008222403999752714,400,6,0,0,max_candidates
graph_n14_d75_adj_matrix,greedy,0,2503.75,2.000024155999199,94,3,113886,0,time_limit
graph_n14_d75_adj_matrix,greedy,1,2503.75,2.000057826000557,281,2,104943,0,time_limit
